2013 Federal Election Senate Candidates [Please Note: These results are not final. Event:17496 Phase:PostElection Generated:2013-11-02T22:05:39 Cycle:816dca7f-34bf-45f4-85ea-182cb130a38c Created:2013-11-02T22:01:37 Environment:PROD Site:CDC Server:DB01 Version:8.4.2.12353]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
NSW,CA,Carers Alliance,24398,BUCKWALTER,Maree,N,N
TAS,SOL,Senator Online (Internet Voting Bills/Issues),24516,BULLARD,David,N,N
WA,ALP,Australian Labor Party,24284,BULLOCK,Joe,N,N
SA,LP,Liberal,23615,BURGESS,Gary,N,N
SA,ODR,Stop The Greens,24924,BURGESS,Steven David,N,N
TAS,GRN,Australian Greens,23450,BURNET,Helen,N,N
TAS,LP,Liberal,23290,BUSHBY,David,Y,Y
WA,VCE,Australian Voice Party,24732,BUTLER,Sean,N,N
WA,TCS,No Carbon Tax Climate Sceptics,24487,BYASS,Adrian,N,N
SA,SEP,Socialist Equality Party,23844,BYRNE,Peter,N,N
SA,HMP,Help End Marijuana Prohibition (HEMP) Party,25035,CALVERT,Chris,N,N
NSW,LP,Liberal,23519,CAMERON,Angus,N,N
NSW,LP,Liberal,23518,CAMERON,Carolyn,N,N
NSW,ALP,Labor,24053,CAMERON,Doug,Y,Y
NSW,PIR,Pirate Party,24074,CAMPBELL,David,N,N
QLD,LNP,Liberal National Party of Queensland,23889,CANAVAN,Matthew,Y,N
VIC,WKP,The Wikileaks Party,24496,CANNOLD,Leslie,N,N
QLD,TCS,No Carbon Tax Climate Sceptics,24481,CARDWELL,Terence Leonard,N,N
SA,GRN,Australian Greens,24841,CAREY,Matthew,N,N
NSW,ALP,Labor,24052,CARR,Bob,Y,Y
NSW,CA,Carers Alliance,24394,CARTER,MaryLou,N,N
SA,FFP,Family First,24910,CASEY,Dan,N,N
WA,LP,Liberal,23893,CASH,Michaelia,N,Y
SA,DEM,Australian Democrats,23897,CASTRIQUE,Andrew,N,N
TAS,LP,Liberal,23292,CHANDLER,Sally,N,N
NSW,ALP,Labor,24064,CHHIBBER,Bhupinder Kumar,N,N
VIC,DRF,Drug Law Reform,24661,CHIPP,Greg,N,N
VIC,ODR,Stop The Greens,24687,CHRISTIE,Simon,N,N
VIC,GRN,The Greens,23276,CHRISTOE,Ian J,N,N
SA,SPA,Secular Party of Australia,23481,CLARKE,Moira,N,N
NSW,CDP,Christian Democratic Party (Fred Nile Group),24386,CLIFFORD,Ross,N,N
SA,IND,Independent,25031,COCHRANE,Christopher Mark,N,N
SA,SEP,Socialist Equality Party,23838,COGAN,James,N,N
TAS,LP,Liberal,23289,COLBECK,Richard,Y,Y
WA,ASXP,Sex Party,24795,COLEMAN,Mark,N,N
QLD,VCE,Australian Voice,24918,COLLINGWOOD,Bevan,N,N
VIC,ALP,Australian Labor Party,23533,COLLINS,Jacinta,Y,Y
SA,PUP,Palmer United Party,24256,COLLIS,Peter Gary,N,N
VIC,DEM,Australian Democrats,23729,COLLYER,David,N,N
QLD,SMK,Smokers Rights,24635,CONNOR,Rachel,N,N
VIC,RPA,The Australian Republicans,24706,CONSANDINE,Peter,N,N
NSW,,,24904,COOPER,Peter Grant,N,N
VIC,NP,The Nationals,23562,CORBOY,Martin Louis,N,N
VIC,KAP,Katter's Australian Party,24175,COSTABILE,David,N,N
TAS,LP,Liberal,23295,COURTNEY,Sarah,N,N
NT,RUA,Rise Up Australia Party,24731,COX,Michael,N,N
SA,AIN,Australian Independents,23929,CRAGO,Tanya,N,N
QLD,LNP,Liberal National Party of Queensland,23908,CRAIG,Theresa,N,N
TAS,FFP,Family First,24460,CRAMP,Nick,N,N
VIC,RUA,Rise Up Australia Party,24063,CRESTANI,Rosalie,N,N
ACT,DRF,Drug Law Reform,24919,CUBITT,Paul,N,N
QLD,ASP,Shooters and Fishers,24735,CURLESS,David Graham,N,N
WA,SPA,Secular Party of Australia,23707,CUTHBERT,Simon Andrew,N,N
VIC,KAP,Katter's Australian Party,24156,DANIELI,Robert,N,N
NSW,SAL,Socialist Alliance,24109,DARE,Reg,N,N
SA,CYA,Country Alliance,24858,DAVIES,Steven,N,N
WA,GRN,The Greens (WA),23975,DAVIS,Kate,N,N
VIC,AJP,Animal Justice Party,23527,DAVISON,Sarah,N,N
VIC,TCS,No Carbon Tax Climate Sceptics,23578,DAWSON,Chris,N,N
SA,FFP,Family First,24901,DAY,Bob,Y,N
NSW,ODR,Stop The Greens,24805,DE LIMA,Joaquim Eduardo,N,N
TAS,PUP,Palmer United Party,23541,DEAKIN,Kevin John,N,N
NSW,SCSG,Stop CSG,24444,DEAN,Lynda Susan,N,N
NSW,AFLP,Australian Fishing and Lifestyle Party,24088,DEAN,Tim,N,N
QLD,ODR,Stop The Greens,24893,DESTRY,Fay,N,N
VIC,ODR,Stop The Greens,24688,DESTRY,Terry,N,N
WA,TCS,No Carbon Tax Climate Sceptics,24488,DEWAR,Heather,N,N
WA,SMK,Smokers Rights,24719,DI RADO,Daniel,N,N
QLD,,,23895,DINSEY,Emily,N,N
TAS,ALP,Australian Labor Party,23496,DOWLING,John,N,N
ACT,DRF,Drug Law Reform,24921,DOWSON,Stacey,N,N
WA,SPRT,Australian Sports Party,24842,DROPULICH,Wayne,N,N
TAS,SPP,Stable Population Party,23386,DUDLEY,Todd,N,N
SA,ON,One Nation,23535,DUNBAR,Kym,N,N
WA,GRN,The Greens (WA),23980,DUNCAN,Adam Nathan,N,N
NSW,ASXP,Sex Party,24097,DUNNE,Graeme,N,N
WA,NP,The Nationals,24258,EAGLES,David,N,N
TAS,ASXP,Sex Party,24909,EALES,Liam,N,N
WA,AFLP,Australian Fishing and Lifestyle Party,23603,EDWARDS,Jay,N,N
NT,ASXP,Sex Party,24958,EDWARDS,Joanne Louise,N,N
SA,AUC,Australian Christians,23517,ENGELA,Theophilus,N,N
VIC,BTA,Bullet Train For Australia,24253,ERWOOD,Mark,N,N
ACT,GRN,Australian Greens,24912,ESGUERRA,Indra,N,N
VIC,BAP,Building Australia Party,24424,EVANS,Darren,N,N
ACT,IND,Independent,24665,EZEKIEL-HART,Emmanuel,N,N
NSW,GRN,The Greens,24467,FAEHRMANN,Cate,N,N
WA,ON,One Nation,24486,FARMER,Robert Malcolm,N,N
SA,ALP,Australian Labor Party,23921,FARRELL,Don,N,Y
VIC,DLP,DLP Democratic Labour,23951,FARRELL,Mark,N,N
NT,CLP,Country Liberals (NT),23514,FAZLDEEN,Linda,N,N
WA,KAP,Katter's Australian Party,24351,FELS,Anthony James,N,N
VIC,FFP,Family First,25038,FENN,Ashley,N,N
NSW,SOL,Senator Online (Internet Voting Bills/Issues),24651,FERGUSON,Tim,N,N
WA,DEM,Australian Democrats,25026,FERNANDEZ,Chris,N,N
ACT,AIN,Australian Independents,24734,FERNIE,Anthony Watson,N,N
TAS,DLP,DLP Democratic Labour,24836,FERRI,Robyne,N,N
VIC,LP,Liberal,23555,FIFIELD,Mitch,Y,Y
ACT,AJP,Animal Justice Party,24222,FILLINGER,Marcus,N,N
NSW,GRN,The Greens,24476,FINDLEY,Amanda,N,N
WA,AFLP,Australian Fishing and Lifestyle Party,23604,FINLAYSON,Ross,N,N
WA,ODR,Stop The Greens,24710,FISHLOCK,David,N,N
SA,ON,One Nation,23531,FITZPATRICK,Peter,N,N
VIC,HMP,Help End Marijuana Prohibition (HEMP) Party,24699,FLETCHER,Ryan William,N,N
SA,RUA,Rise Up Australia Party,25013,FLINT,Jeff,N,N
NT,ALP,Australian Labor Party (Northern Territory) Branch,23503,FOLEY,Rowan,N,N
WA,RUA,Rise Up Australia Party,23963,FOREMAN,Jane,N,N
WA,ALP,Australian Labor Party,24299,FOSTER,Peter Allan,N,N
NSW,VCE,Australian Voice,24561,FRANCIS,Keith,N,N
NSW,CDP,Christian Democratic Party (Fred Nile Group),24379,FRASER,Caroline Margaret,N,N
NSW,AFN,Australia First Party,23425,FRASER,Garth,N,N
NSW,SCSG,Stop CSG,24443,FRASER,Gordon Graham,N,N
QLD,VCE,Australian Voice,24920,FRIEND,George,N,N
SA,SMK,Smokers Rights,24917,FROST,Adam,N,N
WA,LDP,Liberal Democrats,24701,FRYAR,Jim,N,N
QLD,ALP,Australian Labor Party,23551,FURNER,Mark Lionel,N,Y
NT,AIN,Australian Independents,23962,FUTCHER,Lisa,N,N
NSW,HMP,Help End Marijuana Prohibition (HEMP) Party,24092,FUTTER,BJ,N,N
NT,FNPP,A.F.N.P.P.,24020,GADAMBUA,Jeannie,N,N
SA,LDP,Liberal Democrats,24855,GAMEAU,Michael,N,N
TAS,CYA,Country Alliance,23950,GARTH,Debra,N,N
TAS,RUA,Rise Up Australia Party,23790,GATHERCOLE,Peter,N,N
WA,WKP,The Wikileaks Party,23870,GEORGATOS,Gerry,N,N
VIC,AMEP,Australian Motoring Enthusiast Party,24796,GILL,Craig A,N,N
NSW,BTA,Bullet Train For Australia,24455,GLICK,Charlotte Rebecca,N,N
TAS,FFP,Family First,24432,GOELST,Andrew,N,N
QLD,LNP,Liberal National Party of Queensland,23896,GOODWIN,David,N,N
SA,AUC,Australian Christians,23515,GRACE,Trevor,N,N
ACT,SPP,Stable Population Party,23293,GRAHAM,Greg,N,N
NT,ASP,Shooters and Fishers,23588,GRAHAM,Matt,N,N
NSW,APP,Australian Protectionist Party,24581,GRECH,Mark,N,N
SA,AMEP,Australian Motoring Enthusiast Party,25007,GREEN,Nathan,N,N
SA,,,24614,GREEN,Ribnga,N,N
SA,XEN,Nick Xenophon Group,23948,GRIFF,Stirling,N,N
VIC,DEM,Australian Democrats,23739,GRUMMET,Richard,N,N
VIC,IND,Independent,23816,GUNTER,Lyn,N,N
NSW,FUT,Future Party,23226,HAGGERTY,James,N,N
SA,ASP,Shooters and Fishers,23524,HAHN,John,N,N
SA,RUA,Rise Up Australia Party,25014,HALES,Paul,N,N
NSW,SEP,Socialist Equality Party,23406,HAMBIDES,Zac,N,N
WA,LDP,Liberal Democrats,24705,HAMILTON,Neil,N,N
VIC,PIR,Pirate Party,24769,HAMMETT,Geoffrey David,N,N
NSW,DLP,Democratic Labour Party (DLP),24076,HANNA,Daniel John,N,N
NSW,ON,One Nation,24337,HANSON,Pauline,N,N
SA,GRN,Australian Greens,24837,HANSON-YOUNG,Sarah,Y,Y
QLD,BAP,Building Australia Party,24650,HARRIS,Ryan,N,N
TAS,TCS,No Carbon Tax Climate Sceptics,24490,HAWES,James,N,N
VIC,PUP,Palmer United Party,23635,HAWKINS,Douglas James,N,N
NSW,NP,The Nationals,23516,HAY,Alan,N,N
QLD,DEM,Australian Democrats,24446,HAYDEN,Cheryl,N,N
SA,AFLP,Australian Fishing and Lifestyle Party,23784,HAYDON,Darren,N,N
VIC,SPP,Stable Population Party,23525,HAYES,Clifford,N,N
QLD,SEP,Socialist Equality Party,23462,HEAD,Mike,N,N
WA,FFP,Family First Party,24327,HENG,Henry,N,N
ACT,RUA,Rise Up Australia Party,24702,HENRIQUEZ,Jose,N,N
TAS,KAP,Katter's Australian Party,24274,HERBERT,Geoff,N,N
QLD,APP,Australian Protectionist Party,23829,HEYWARD,Rick,N,N
WA,AIN,Australian Independents,24132,HIGGINS,Daryl,N,N
QLD,PUP,Palmer United Party,23445,HIGGINS,Scott John,N,N
NSW,VEP,Voluntary Euthanasia Party,24809,HIGSON,Shayne,N,N
TAS,TCS,No Carbon Tax Climate Sceptics,24493,HINES,Petta,N,N
NSW,AIN,Australian Independents,24081,HIRST,Stephen,N,N
NSW,GRN,The Greens,24474,HO,Christina,N,N
WA,KAP,Katter's Australian Party,24356,HODDINOTT,Susan,N,N
VIC,ASXP,Sex Party,23852,HOPKINS,Ange,N,N
NSW,ASP,Shooters and Fishers,23157,HOUSEMAN,Karl Alexander,N,N
VIC,DEM,Australian Democrats,23731,HOWE,Roger,N,N
WA,AMEP,Australian Motoring Enthusiast Party,24742,HOWLETT,Richie,N,N
VIC,VCE,Australian Voice Party,24380,HUGHES,Vern,N,N
VIC,GRN,The Greens,23282,HUMPHREYS,Robert,N,N
NSW,DRF,Drug Law Reform,24647,HUNT,Miles,N,N
NSW,FFP,Family First Party,24729,HURLEY,Stan,N,N
WA,AIN,Australian Independents,24138,IRVING,Patricia,N,N
VIC,DEM,Australian Democrats,23732,ISGRO,Sarina,N,N
VIC,CEC,Citizens Electoral Council,23234,ISHERWOOD,Craig,N,N
VIC,AUC,Australian Christians,23543,JANSON,Vickie,N,N
NSW,FUT,Future Party,23225,JANSSON,James,N,N
QLD,SOL,Senator Online (Internet Voting Bills/Issues),24914,JEFFERYES,Ricky,N,N
QLD,RUA,Rise Up Australia Party,23596,JENNINGS,Michael,N,N
SA,DRF,Drug Law Reform,25018,JIGGENS,John,N,N
NSW,APP,Australian Protectionist Party,24582,JOHNS,Christian,N,N
QLD,ASP,Shooters and Fishers,24737,JOHNSON,Pete,N,N
WA,LP,Liberal,23885,JOHNSTON,David,N,Y
VIC,CYA,Country Alliance,23687,JONES,Andrew,N,N
TAS,AUC,Australian Christians,24789,JONGELING,Ans,N,N
QLD,SOL,Senator Online (Internet Voting Bills/Issues),24922,JOUM,LB,N,N
